Time,Channel A,Channel B
(ms),(V),(V)

0.00572681,2.98197600,0.08612204
0.00574281,2.89016400,0.08612204
0.00575881,2.79389100,0.08612204
0.00577481,2.69285200,0.08612204
0.00579081,2.58735200,0.08612204
0.00580681,2.47754700,0.08612204
0.00582281,2.36358900,0.08612204
0.00583881,2.24563200,0.08612204
0.00585481,2.12367700,0.08612204
0.00587081,1.99833900,0.08612204
0.00588681,1.86946400,0.08612204
0.00590281,1.73751200,0.08612204
0.00591881,1.60248500,0.08612204
0.00593481,1.46499800,0.08612204
0.00595081,1.32520300,0.08612204
0.00596681,1.18325500,0.08612204
0.00598281,1.03961600,0.08612204
0.00599881,0.89459280,0.08612204
0.00601481,0.74833910,0.08612204
0.00603081,0.60131650,0.08612204
0.00604681,0.45398620,0.08612204
0.00606281,0.30634840,0.08612204
0.00607881,0.15886440,0.08612204
0.00609481,0.01199557,0.00000000
0.00611081,-0.13395050,0.08612204
0.00612681,-0.27882010,0.08612204
0.00614281,-0.42230560,0.08612204
0.00615881,-0.56379180,0.08612204
0.00617481,-0.70343260,0.08612204
0.00619081,-0.84061270,0.08612204
0.00620681,-0.97502460,0.08612204
0.00622281,-1.10682200,0.08612204
0.00623881,-1.23523600,0.08612204
0.00625481,-1.36026700,0.08612204
0.00627081,-1.48176100,0.08612204
0.00628681,-1.59940900,0.08612204
0.00630281,-1.71321400,0.00000000
0.00631881,-1.82271200,0.00000000
0.00633481,-1.92790400,0.00000000
0.00635081,-2.02863600,0.08612204
0.00636681,-2.12506200,0.08612204
0.00638281,-2.21672000,0.08612204
0.00639881,-2.30391900,0.08612204
0.00641481,-2.38619600,0.08612204
0.00643081,-2.46386000,0.08612204
0.00644681,-2.53690900,0.08612204
0.00646281,-2.60534600,0.08612204
0.00647881,-2.66901400,0.08612204
0.00649481,-2.72807000,0.08612204
0.00651081,-2.78266500,0.08612204
0.00652681,-2.83295400,0.08612204
0.00654281,-2.87893700,0.08612204
0.00655881,-2.92061400,0.08612204
0.00657481,-2.95844600,0.08612204
0.00659081,-2.99243400,0.08612204
0.00660681,-3.02257600,0.08612204
0.00662281,-3.04948900,0.08612204
0.00663881,-3.07286500,0.08612204
0.00665481,-3.09316600,0.08612204
0.00667081,-3.11069800,0.08612204
0.00668681,-3.12546100,0.08612204
0.00670281,-3.13776400,0.08612204
0.00671881,-3.14776100,0.08612204
0.00673481,-3.15591200,0.08612204
0.00675081,-3.16206300,0.08612204
0.00676681,-3.16683100,0.08612204
0.00678281,-3.17021400,0.08612204
0.00679881,-3.17252100,0.08612204
0.00681481,-3.17405900,0.08612204
0.00683081,-3.17482800,0.08612204
0.00684681,-3.17513500,0.08612204
0.00686281,-3.17482800,0.08612204
0.00687881,-3.17206000,0.08612204
0.00689481,-3.16698500,0.08612204
0.00691081,-3.16052500,0.08612204
0.00692681,-3.15329700,0.08612204
0.00694281,-3.14591500,0.08612204
0.00695881,-3.13884100,0.08612204
0.00697481,-3.13207400,0.08612204
0.00699081,-3.12546100,0.08612204
0.00700681,-3.11900200,0.08612204
0.00702281,-3.11285100,0.08612204
0.00703881,-3.10700700,0.08612204
0.00705481,-3.10131600,0.08612204
0.00707081,-3.09578000,0.08612204
0.00708681,-3.09055100,0.08612204
0.00710281,-3.08547600,0.08612204
0.00711881,-3.08070900,0.08612204
0.00713481,-3.07609500,0.08612204
0.00715081,-3.07209600,0.08612204
